member_id,plan_id,plan_type,valuation_date,status,age,gender,service_years,retirement_age_assumption,salary_current,salary_5y_avg,salary_growth_assumption,contribution_rate_employee,contribution_rate_employer,accrual_rate,benefit_formula,termination_rate,mortality_table,mortality_improvement_scale,discount_rate_base,inflation_assumption,expected_return_on_assets,asset_allocation_equity,asset_allocation_fixed_income,asset_allocation_alts,asset_allocation_cash,assets_market_value_member,liability_pv_member,funded_ratio_member,liability_duration,benefit_payments_next_year_member,probability_retirement_next_year,probability_mortality_next_year,scenario_id,shock_interest_rate_bps,shock_equity_return,shock_inflation_bps,surplus_change_scenario_member,VaR_95_member,CTE_99_member,country,currency
M00036,P005,DB,12/31/2025,Active,35,F,8,67,978257.5357,872055.8958,0.059142608,0.071667187,0.037106808,0.011319733,flat,0.0258627,VBT-2015,MP-2021,0.069328013,0.030279333,0.084187287,0.541167864,0.313237251,0.041991355,0.10360353,809972.9,734596.5673,1.102609155,9.302044586,0,0,0.002,rate_up_100bps,100,0,-50,55646.81599,146529.429,249055.4914,IN,INR
M00037,P002,DB,12/31/2025,Active,42,M,19,63,1060937.148,973768.3214,0.043799314,0.010045602,0.060932123,0.010881356,flat,0.041277206,RP-2010,MP-2021,0.06350654,0.042546086,0.071626412,0.204781767,0.660581921,0.079733397,0.054902914,2465231.987,2612162.51,0.943751385,12.97501674,0,0,0.0041,rate_down_100bps,-100,0,50,-257504.139,234374.1857,398364.8774,IN,INR
M00038,P001,DB,12/31/2025,Active,37,F,20,62,1075873.796,963335.1152,0.056797967,0.06245575,0.088837658,0.018680984,final_average,0.053165661,IAM-2012,None,0.059564989,0.040512212,0.072422198,0.47029663,0.444947267,0.06917871,0.015577393,5527229.483,5160272.827,1.071111871,14.33723904,0,0,0.0026,rate_down_100bps,-100,0,50,-616874.3676,892195.1238,1516460.527,IN,INR
M00039,P004,Hybrid,12/31/2025,Active,37,M,20,60,798315.6248,737645.1501,0.040311906,0.011301263,0.14353643,0.095487627,cash_balance,0.034312047,VBT-2015,MP-2021,0.076000832,0.057984412,0.098695941,0.616106142,0.350318113,0.021246721,0.012329024,2375901.59,2295665.65,1.034951056,11.30375373,0,0,0.0026,baseline,0,0,0,0,488650.8855,830557.9792,IN,INR
M00040,P003,DC,12/31/2025,Active,43,F,10,62,1765163.112,1632608.219,0.039803877,0.090405852,0.135231346,,account_balance,0.019892625,RP-2010,MP-2021,0.073681158,0.059580754,0.092206102,0.085759516,0.44075069,0.359022288,0.114467506,5725529.665,5725529.665,1,9.506626292,0,0,0.0044,rate_up_100bps,100,0,-50,418128.151,502894.3573,854767.552,IN,INR
M00041,P001,DB,12/31/2025,Active,36,M,7,62,689332.7683,615140.4158,0.058588888,0.017787063,0.106769266,0.019370642,final_average,0.088570611,RP-2010,MP-2021,0.064316513,0.038638128,0.076965697,0.41145941,0.292758655,0.284987155,0.01079478,954026.6863,963864.2407,0.989793631,11.55578776,0,0,0.0023,baseline,0,0,0,0,142545.8739,242284.6586,IN,INR
M00042,P003,DC,12/31/2025,Active,41,F,14,64,791391.7155,716646.9505,0.050855789,0.116847383,0.075991647,,account_balance,0.081192063,IALM_2012-14_Ultimate,MP-2021,0.08671107,0.048300101,0.077898173,0.320458805,0.252452737,0.151678396,0.275410063,3270938.526,3270938.526,1,16.8041653,0,0,0.0038,rate_down_100bps,-100,0,50,-508366.0477,367941.3803,625388.5103,IN,INR
M00043,P001,DB,12/31/2025,Active,25,M,6,62,981982.3445,878378.497,0.057331064,0.061639552,0.035615022,0.018821905,final_average,0.151326983,IALM_2012-14_Ultimate,MP-2021,0.080472156,0.052356582,0.064591706,0.707165549,0.133616305,0.126185941,0.033032206,1141772.886,1195711.86,0.954889656,12.05396718,0,0,0.0005,baseline,0,0,0,0,267584.8386,454812.8929,IN,INR
M00044,P006,DC,12/31/2025,Active,46,M,16,60,539218.5252,497793.2248,0.04077754,0.1197906,0.107485544,,account_balance,0.082162907,RP-2010,MP-2021,0.060402695,0.035733048,0.093781664,0.321358828,0.377017055,0.226296583,0.075327534,3708240.773,3708240.773,1,16.08020001,0,0,0.0053,equity_down_20,0,-0.2,0,-238335.1817,447453.3143,760534.6303,IN,INR
M00045,P002,DB,12/31/2025,Active,44,F,7,60,2179125.366,1961747.368,0.053948934,0.017602815,0.037909638,0.011498818,flat,0.09339273,RP-2014,MP-2020,0.087734639,0.050598315,0.06015956,0.348793404,0.543286432,0.083781147,0.024139016,2226267.833,2419095.488,0.920289358,15.31999735,0,0,0.0047,high_inflation,150,-0.05,300,426370.0869,284381.5817,483362.2507,IN,INR
M00046,P004,Hybrid,12/31/2025,Active,36,M,9,66,984230.0902,896551.4338,0.047757346,0.099017281,0.136043991,0.067722574,cash_balance,0.114454921,RP-2010,MP-2021,0.080221564,0.037731016,0.065779224,0.543447805,0.253225737,0.201765314,0.001561143,698279.2955,688794.5542,1.013770058,17.62740855,0,0,0.0023,baseline,0,0,0,0,129093.6729,219420.0057,IN,INR
M00047,P002,DB,12/31/2025,Active,51,M,16,64,1426983.425,1284807.054,0.053878411,0.042183673,0.120364435,0.012700676,career_average,0.101727169,IALM_2012-14_Ultimate,MP-2021,0.085884277,0.035065767,0.081362569,0.379782342,0.146426656,0.470738348,0.003052654,4317523.402,4398849.047,0.981512063,16.84823216,0,0,0.0068,baseline,0,0,0,0,675189.3704,1147616.705,IN,INR
M00048,P003,DC,12/31/2025,Active,53,M,3,63,639940.7762,589805.0646,0.041635189,0.078933489,0.176679801,,account_balance,0.127680556,VBT-2015,MP-2021,0.055448799,0.055520284,0.067537133,0.278006612,0.597944622,0.118239389,0.005809377,498870.3232,498870.3232,1,17.47427299,0,0,0.0074,rate_down_100bps,-100,0,50,-72259.1208,55537.29411,94396.51935,IN,INR
M00049,P003,DC,12/31/2025,Active,28,M,7,66,1356312.89,1210267.328,0.058618039,0.095846029,0.077716222,,account_balance,0.168888889,RP-2014,MP-2021,0.05131987,0.045074375,0.085311205,0.180555876,0.358955292,0.42697986,0.033508972,1958279.283,1958279.283,1,9.209654512,0,0,0.0005,rate_down_100bps,-100,0,50,-145204.0208,213518.1208,362915.9062,IN,INR
M00050,P002,DB,12/31/2025,Active,36,F,13,61,1409107.997,1248824.147,0.062237175,0.058389371,0.043443379,0.010454736,career_average,0.021427535,IAM-2012,MP-2021,0.069716731,0.038908915,0.060145618,0.543324844,0.40658563,0.006761895,0.043327632,1746419.506,1981702.877,0.881272125,11.6756437,0,0,0.0023,equity_down_20,0,-0.2,0,-189774.621,319960.3258,543835.3016,IN,INR
M00051,P006,DC,12/31/2025,Active,36,M,15,68,1503627.616,1389128.417,0.040396659,0.050088799,0.139797723,,account_balance,0.024016955,VBT-2015,MP-2021,0.067926115,0.042140889,0.063936483,0.208161327,0.732850095,0.046370841,0.012617737,6297897.018,6297897.018,1,16.85476226,0,0,0.0023,baseline,0,0,0,0,629978.5949,1070772.128,IN,INR
M00052,P005,DB,12/31/2025,Active,35,F,14,64,2320399.503,2137010.394,0.042024822,0.05719511,0.128727889,0.013226679,final_average,0.137777778,IALM_2012-14_Ultimate,MP-2021,0.084792158,0.042395125,0.090587339,0.508058328,0.355170614,0.050868792,0.085902265,4839009.067,4888859.695,0.98980322,12.35441245,0,0,0.002,rate_up_100bps,100,0,-50,518056.1994,827898.1074,1407175.142,IN,INR
M00053,P006,DC,12/31/2025,Active,52,M,9,62,765889.6512,686232.7723,0.056446171,0.08175327,0.092043881,,account_balance,0.105828034,VBT-2015,None,0.056885817,0.053101032,0.083060859,0.28905228,0.64537248,0.019894014,0.045681226,1537072.987,1537072.987,1,9.474685781,0,0,0.0071,high_inflation,150,-0.05,300,121835.6857,176040.984,299216.1649,IN,INR
M00054,P006,DC,12/31/2025,Active,42,M,17,65,905288.0217,809022.1808,0.057823407,0.056152172,0.157648627,,account_balance,0.122329593,VBT-2015,MP-2021,0.050943289,0.056602743,0.060778326,0.225082131,0.61746827,0.083952302,0.073497297,4855434.453,4855434.453,1,17.35755609,0,0,0.0041,rate_up_100bps,100,0,-50,692880.9228,472600.824,803277.7531,IN,INR
M00055,P004,Hybrid,12/31/2025,Active,41,F,6,65,673092.436,601130.4894,0.058163987,0.04358411,0.061649543,0.055972248,cash_balance,0.054548294,IALM_2012-14_Ultimate,MP-2021,0.071169912,0.044269885,0.068232568,0.474965785,0.430986878,0.092607166,0.001440171,234997.9185,231637.8281,1.014505793,13.06797277,0,0,0.0038,baseline,0,0,0,0,38299.65499,65097.77225,IN,INR
M00056,P006,DC,12/31/2025,Active,24,F,5,63,942882.8259,843441.0574,0.05730794,0.058198052,0.1528564,,account_balance,0.052110981,VBT-2015,MI-2012,0.057102644,0.039686585,0.069558533,0.339642981,0.350466409,0.126342178,0.183548432,1053005.529,1053005.529,1,9.466281665,0,0,0.0005,baseline,0,0,0,0,125983.0029,214132.8122,IN,INR
M00057,P001,DB,12/31/2025,Active,50,F,13,66,1327559.144,1214030.055,0.045712309,0.069742546,0.146132659,0.013082678,career_average,0.142222222,RP-2010,MP-2020,0.051980359,0.05181794,0.093962423,0.311163894,0.598955323,0.0441424,0.045738383,2373868.519,2385680.508,0.995048797,11.55427834,0,0,0.0065,rate_down_100bps,-100,0,50,-204556.1068,281396.2207,478288.0444,IN,INR
M00058,P002,DB,12/31/2025,Active,32,M,5,62,1295757.731,1184762.761,0.045794147,0.036761597,0.140462757,0.014131241,career_average,0.025788425,RP-2014,MI-2012,0.050888258,0.057159338,0.0833015,0.394147497,0.489525428,0.107089728,0.009237347,1058053.202,1398136.084,0.756759813,16.70197152,0,0,0.0011,rate_down_100bps,-100,0,50,-207619.0932,148115.4924,251751.3172,IN,INR
M00059,P001,DB,12/31/2025,Active,45,M,26,63,2060251.285,1904112.422,0.040192705,0.086388603,0.073156618,0.021371556,final_average,0.084444444,IALM_2012-14_Ultimate,MP-2021,0.055697346,0.033422552,0.08165699,0.231399952,0.427130692,0.20781439,0.133654966,20397878.8,17041831.8,1.196929945,16.10698323,0,0,0.005,baseline,0,0,0,0,1962953.313,3336423.99,IN,INR
M00060,P002,DB,12/31/2025,Active,47,M,7,61,1227621.007,1143182.728,0.036273348,0.002928138,0.123579541,0.016396757,career_average,0.062954912,RP-2014,MP-2021,0.065034263,0.053904355,0.063468002,0.417073957,0.387306782,0.194799881,0.00081938,2572340.973,2358554.002,1.090643238,17.97521819,0,0,0.0056,rate_down_100bps,-100,0,50,-374140.9728,379527.8372,645081.9652,IN,INR
M00061,P003,DC,12/31/2025,Active,58,M,17,62,984858.0863,880331.2214,0.057703095,0.079141802,0.120346567,,account_balance,0.01861613,RP-2010,MP-2021,0.085358733,0.046715155,0.086277789,0.343735694,0.47459159,0.040855708,0.140817009,6032679.486,6032679.486,1,12.96029277,0,0,0.0089,rate_up_100bps,100,0,-50,638699.9761,740171.4524,1258066.493,IN,INR
M00062,P002,DB,12/31/2025,Active,31,M,4,62,602421.5671,563752.3024,0.033727551,0.051099185,0.061311176,0.011336107,career_average,0.175055271,IALM_2012-14_Ultimate,None,0.080422984,0.056028153,0.066235562,0.197798746,0.417712329,0.133251296,0.251237629,257585.6138,299667.9821,0.859570021,11.72271142,0,0,0.0008,rate_down_100bps,-100,0,50,-29749.37844,20995.35112,35685.71535,IN,INR
M00063,P005,DB,12/31/2025,Active,20,F,23,67,1454022.14,1275926.74,0.067511691,0.060703224,0.129635478,0.013132394,career_average,0.097777778,RP-2010,MP-2021,0.071206729,0.045423148,0.080869654,0.545555,0.331840886,0.068801902,0.053802212,4293049.477,3930308.49,1.092293261,10.19833266,0,0,0.0005,baseline,0,0,0,0,785449.4632,1335025.349,IN,INR
M00064,P002,DB,12/31/2025,Active,46,F,11,61,917654.8553,812003.1679,0.063067452,0.027607191,0.062147475,0.023980339,final_average,0.041012459,IAM-2012,MP-2021,0.067213791,0.055877274,0.083705417,0.576065752,0.299443908,0.117655039,0.0068353,2741243.665,2502322.572,1.095479734,11.68254756,0,0,0.0053,high_inflation,150,-0.05,300,297982.0533,529655.4389,900253.2567,IN,INR
M00065,P002,DB,12/31/2025,Retired,62,M,7,63,1468965.247,1296830.481,0.06430023,0.042747997,0.071193855,0.019955469,final_average,0.028950189,IAM-2012,None,0.068231963,0.04663452,0.093675045,0.213251436,0.398233895,0.335790173,0.052724496,1995689.643,1955844.372,1.020372414,10.79670186,181152.0219,0,0.0101,baseline,0,0,0,0,207990.4489,353520.5441,IN,INR
M00066,P003,DC,12/31/2025,Active,56,M,9,64,813297.9184,715348.9195,0.066266753,0.067259148,0.173990997,,account_balance,0.04667818,IAM-2012,None,0.085385777,0.034346468,0.092257883,0.240578488,0.233487011,0.517228214,0.008706287,2310422.27,2310422.27,1,15.01219341,0,0,0.0083,rate_up_100bps,100,0,-50,319872.3804,303189.1825,515329.4555,IN,INR
M00067,P001,DB,12/31/2025,Active,46,F,6,66,1690134.193,1543732.497,0.046344199,0.068690998,0.090849576,0.013231457,final_average,0.117325061,RP-2014,MI-2012,0.078985245,0.030148373,0.067604225,0.028040377,0.42354648,0.500483574,0.047929569,2008624.184,1948089.105,1.031074081,15.8956335,0,0,0.0053,equity_down_20,0,-0.2,0,-11264.5158,216278.0667,367606.9754,IN,INR
